,season,name,position,value,value_delta,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
108,2018-19,Collin Quaner,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
109,2018-19,Connor Wickham,FWD,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Crystal Palace,Fulham,False,1,8,15:00,0.8333333333333334,2018-08-11
110,2018-19,Conor Coady,DEF,45,0.0,0,0,0,2,0,0,0,0,0,0.5,0.0,14.6,14,90,0,0,Wolves,Everton,True,0,8,17:30,1.3924050632911391,2018-08-11
111,2018-19,Craig Cathcart,DEF,45,0.0,1,0,0,0,0,0,0,0,1,0.6,6.0,10.4,23,90,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
112,2018-19,Cuco Martina,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
113,2018-19,Cyrus Christie,DEF,45,0.0,0,0,0,2,0,0,0,0,0,19.3,9.0,17.8,12,90,0,0,Fulham,Crystal Palace,True,-1,8,15:00,1.2,2018-08-11
114,2018-19,Cédric Soares,DEF,45,0.0,0,0,0,0,0,0,0,0,0,1.3,2.0,4.2,4,55,0,0,Southampton,Burnley,True,0,8,13:30,2.7027027027027026,2018-08-12
115,2018-19,César Azpilicueta,DEF,65,0.0,1,0,0,0,0,0,0,0,1,9.9,0.0,22.6,29,90,0,0,Chelsea,Huddersfield,False,1,8,15:00,4.037267080745341,2018-08-11
116,2018-19,Daley Blind,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
117,2018-19,Dale Stephens,MID,45,0.0,0,0,0,2,0,0,0,0,0,11.8,4.0,21.8,14,90,1,0,Brighton,Watford,False,-1,8,15:00,0.6970588235294118,2018-08-11
118,2018-19,Daniel Amartey,MID,45,0.0,0,0,0,1,0,0,0,0,0,13.1,0.0,0.8,6,62,1,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
119,2018-19,Daniel Drinkwater,MID,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Chelsea,Huddersfield,False,1,8,15:00,4.037267080745341,2018-08-11
120,2018-19,Daniel Sturridge,FWD,60,0.0,1,0,1,0,0,0,0,0,0,2.5,50.0,35.0,26,3,0,0,Liverpool,West Ham,True,1,8,13:30,11.2,2018-08-12
121,2018-19,Danilo luiz Da silva,DEF,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man City,Arsenal,False,1,8,16:00,2.0512820512820515,2018-08-12
122,2018-19,Danny Batth,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Everton,True,0,8,17:30,1.3924050632911391,2018-08-11
123,2018-19,Danny Ings,FWD,55,0.0,0,0,0,0,0,0,0,0,0,41.8,16.0,6.0,6,34,0,0,Southampton,Burnley,True,0,8,13:30,2.7027027027027026,2018-08-12
124,2018-19,Danny Rose,DEF,60,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Tottenham,Newcastle,False,1,8,12:30,1.9117647058823528,2018-08-11
125,2018-19,Danny Simpson,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
126,2018-19,Danny Ward,MID,45,0.0,0,0,0,1,0,0,0,0,0,1.1,0.0,0.0,3,28,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
127,2018-19,Danny Ward,GK,45,0.0,0,0,0,1,0,0,0,0,0,1.1,0.0,0.0,3,28,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
128,2018-19,Danny Ward,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
129,2018-19,Danny Ward,GK,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
130,2018-19,Danny Welbeck,FWD,65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Arsenal,Man City,True,-1,8,16:00,0.4875,2018-08-12
131,2018-19,Danny Williams,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
132,2018-19,Dan Gosling,MID,50,0.0,1,0,0,0,0,0,0,0,1,10.4,1.0,23.2,12,90,0,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
133,2018-19,Daryl Janmaat,DEF,50,0.0,2,0,0,0,0,0,0,0,1,6.3,21.0,15.2,25,90,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
