,season,name,position,value,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
3803,2017-18,Pierre-emile Højbjerg,MID,43,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Southampton,Bournemouth,False,0,12,13:30,1.209205020920502,2017-12-03
3804,2017-18,Ragnar Klavan,DEF,43,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Brighton,False,1,12,15:00,5.0,2017-12-02
3805,2017-18,Raheem Sterling,MID,83,0,0,0,1,0,0,0,0,0,34.6,58,12.8,12,90,0,0,Man City,West Ham,True,1,12,16:00,19.444444444444443,2017-12-03
3806,2017-18,Rajiv Van la parra,MID,48,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Huddersfield,Everton,False,-1,12,15:00,0.31272727272727274,2017-12-02
3807,2017-18,Ramadan Sobhi,MID,46,0,0,0,0,0,0,0,0,0,11.1,2,5.8,4,20,0,0,Stoke,Swansea,True,1,12,15:00,2.307692307692308,2017-12-02
3808,2017-18,Ramiro Funes mori,DEF,49,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Huddersfield,True,1,12,15:00,3.197674418604651,2017-12-02
3809,2017-18,Reiss Nelson,MID,48,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3810,2017-18,Rekeem Harper,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Brom,Crystal Palace,True,0,12,15:00,1.28,2017-12-02
3811,2017-18,Renato Sanches,MID,47,0,0,0,0,0,0,0,0,0,0.5,0,1.4,4,5,0,0,Swansea,Stoke,False,-1,12,15:00,0.43333333333333335,2017-12-02
3812,2017-18,Richarlison De andrade,MID,66,0,0,0,1,0,0,0,0,0,3.7,48,5.4,-4,90,1,0,Watford,Tottenham,True,0,12,15:00,0.344,2017-12-02
3813,2017-18,Riyad Mahrez,MID,84,1,1,0,0,0,0,0,0,1,51.1,39,17.6,21,90,0,0,Leicester,Burnley,True,1,12,15:00,2.73224043715847,2017-12-02
3814,2017-18,Robbie Brady,MID,55,0,0,0,1,0,0,0,0,0,38.3,5,5.0,8,30,0,0,Burnley,Leicester,False,-1,12,15:00,0.366,2017-12-02
3815,2017-18,Robert kenedy Nunes do nascimento,MID,48,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Chelsea,Newcastle,True,1,12,12:30,12.0,2017-12-02
3816,2017-18,Roberto Firmino,FWD,84,3,0,2,1,0,0,0,0,0,22.0,45,73.8,67,87,0,0,Liverpool,Brighton,False,1,12,15:00,5.0,2017-12-02
3817,2017-18,Roberto Pereyra,MID,58,0,0,0,1,0,0,0,0,0,1.3,2,0.8,5,66,0,0,Watford,Tottenham,True,0,12,15:00,0.344,2017-12-02
3818,2017-18,Robert Elliot,GK,42,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Newcastle,Chelsea,False,-1,12,12:30,0.08333333333333333,2017-12-02
3819,2017-18,Robert Green,GK,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Huddersfield,Everton,False,-1,12,15:00,0.31272727272727274,2017-12-02
3820,2017-18,Robert Huth,DEF,49,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Leicester,Burnley,True,1,12,15:00,2.73224043715847,2017-12-02
3821,2017-18,Robert Snodgrass,MID,58,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Man City,False,-1,12,16:00,0.051428571428571435,2017-12-03
3822,2017-18,Rob Holding,DEF,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3823,2017-18,Rolando Aarons,MID,44,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Newcastle,Chelsea,False,-1,12,12:30,0.08333333333333333,2017-12-02
3824,2017-18,Romelu Lukaku,FWD,114,0,0,0,1,0,0,0,0,0,4.1,8,6.8,8,90,0,0,Man United,Arsenal,False,1,12,17:30,0.8333333333333334,2017-12-02
3825,2017-18,Roque Mesa,MID,43,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Swansea,Stoke,False,-1,12,15:00,0.43333333333333335,2017-12-02
3826,2017-18,Ross Barkley,MID,74,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Huddersfield,True,1,12,15:00,3.197674418604651,2017-12-02
3827,2017-18,Ruben Loftus-cheek,MID,46,1,0,0,0,0,0,0,0,1,37.0,6,17.8,14,90,0,0,Crystal Palace,West Brom,False,0,12,15:00,0.78125,2017-12-02
3828,2017-18,Ryan Bertrand,DEF,54,1,0,0,1,0,0,0,0,0,38.3,2,22.8,22,90,0,0,Southampton,Bournemouth,False,0,12,13:30,1.209205020920502,2017-12-03
3829,2017-18,Ryan Fraser,MID,51,2,0,1,1,0,0,0,0,0,14.5,39,40.0,28,90,0,0,Bournemouth,Southampton,True,0,12,13:30,0.8269896193771626,2017-12-03
3830,2017-18,Ryan Shawcross,DEF,48,0,0,0,1,0,0,0,0,0,0.0,0,48.0,15,90,0,0,Stoke,Swansea,True,1,12,15:00,2.307692307692308,2017-12-02
3831,2017-18,Sadio Mané,MID,94,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Brighton,False,1,12,15:00,5.0,2017-12-02
3832,2017-18,Saido Berahino,FWD,57,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Stoke,Swansea,True,1,12,15:00,2.307692307692308,2017-12-02
3833,2017-18,Salomón Rondón,FWD,60,0,0,0,0,0,0,0,0,1,5.7,54,8.2,5,90,0,0,West Brom,Crystal Palace,True,0,12,15:00,1.28,2017-12-02
3834,2017-18,Sam Baldock,FWD,49,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Brighton,Liverpool,True,-1,12,15:00,0.2,2017-12-02
3835,2017-18,Sam Byram,DEF,43,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Man City,False,-1,12,16:00,0.051428571428571435,2017-12-03
3836,2017-18,Sam Clucas,MID,49,0,0,0,2,0,0,0,0,0,16.1,10,5.0,11,72,0,0,Swansea,Stoke,False,-1,12,15:00,0.43333333333333335,2017-12-02
3837,2017-18,Sam Field,MID,45,0,0,0,0,0,0,0,0,1,14.8,56,16.8,11,90,1,0,West Brom,Crystal Palace,True,0,12,15:00,1.28,2017-12-02
3838,2017-18,Sam Mcqueen,DEF,43,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Southampton,Bournemouth,False,0,12,13:30,1.209205020920502,2017-12-03
3839,2017-18,Sam Vokes,FWD,58,0,0,0,0,0,0,0,0,0,0.3,6,0.0,2,16,0,0,Burnley,Leicester,False,-1,12,15:00,0.366,2017-12-02
3840,2017-18,Sandro Ramírez,FWD,71,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Huddersfield,True,1,12,15:00,3.197674418604651,2017-12-02
3841,2017-18,Santiago Cazorla,MID,69,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3842,2017-18,Scott Arfield,MID,49,0,0,0,0,0,0,0,0,0,1.3,8,13.2,8,59,0,0,Burnley,Leicester,False,-1,12,15:00,0.366,2017-12-02
